source,feature,ctcf_motif_cosine,mean_activation,activation_frequency
residual,110,0.058179231506458796,1.0674166679382324,0.9783410408007961
residual,342,0.05810552931462123,1.112899661064148,0.9745556010848992
residual,284,0.05802134460846842,1.107311487197876,0.9756873304844973
residual,120,0.057823974098259956,1.1299569606781006,0.979863021717497
residual,137,0.05779888432393685,1.0833508968353271,0.978048352162969
residual,449,0.05632142751774794,1.07875394821167,0.9772678491287635
residual,417,0.05607628110910275,1.0613189935684204,0.9751019532088431
residual,74,0.05602319731746546,1.099099040031433,0.9765263712462682
residual,24,0.05594855099829121,1.0809881687164307,0.9765653963979785
residual,437,0.055828948459265226,1.1010715961456299,0.9764873460945579
residual,354,0.05582767052563756,1.095180630683899,0.9776385880700111
residual,112,0.05538243075557892,1.0890915393829346,0.9760580694257449
residual,215,0.05528055134878454,1.0858290195465088,0.977189798825343
residual,180,0.055268080729917964,1.1292665004730225,0.9743019375987824
residual,165,0.054898567553038555,1.1211130619049072,0.9779312767078382
residual,77,0.054743460661818455,1.0996562242507935,0.9746531639641749
residual,30,0.05443718883004993,1.117638111114502,0.976916622763371
residual,459,0.053965693617932416,1.0645304918289185,0.9787898300454643
residual,231,0.05392829354574852,1.0624574422836304,0.9751214657846983
residual,155,0.05359256047245428,1.1144132614135742,0.9771117485219224
residual,367,0.0534352972579063,1.069524884223938,0.9746141388124646
residual,424,0.053295972134408676,1.1139798164367676,0.975082440632988
residual,251,0.053182288329400924,1.1093015670776367,0.9759800191223243
residual,158,0.05299984545174418,1.101844310760498,0.9738531483541142
residual,329,0.052961109402634994,1.1121697425842285,0.9752970789673945
residual,357,0.05282774007256321,1.0563815832138062,0.978184940193955
residual,382,0.05275072421044174,1.0612002611160278,0.9775215126148803
residual,185,0.05259166524409623,1.099438190460205,0.9760190442740346
residual,306,0.05246174746991455,1.0770013332366943,0.974945852602002
residual,32,0.05238002882868081,1.1038390398025513,0.9772678491287635
residual,58,0.052246385964894185,1.1310534477233887,0.9761751448808758
residual,347,0.05220758365918468,1.097848892211914,0.9774629748873149
residual,298,0.05217219237646042,1.0899890661239624,0.9708286990965678
residual,336,0.05195041317119363,1.1010874509811401,0.977209311401198
residual,452,0.05181998048486604,1.107558250427246,0.9744775507814787
residual,510,0.05176957657035039,1.081047534942627,0.9768190598840953
residual,288,0.0516154855739445,1.0642467737197876,0.9745946262366095
residual,16,0.05158736917615015,1.1147515773773193,0.9762922203360066
