source,feature,ctcf_motif_cosine,mean_activation,activation_frequency
mlp,174,0.007024096030452593,0.49085888266563416,0.49853515625
mlp,350,0.007019239843987694,0.5419416427612305,0.50732421875
mlp,143,0.0067985830867027626,0.5257775783538818,0.49560546875
mlp,39,0.0065159453257717555,0.5426416397094727,0.47998046875
mlp,401,0.006455617732198936,0.537714958190918,0.47021484375
mlp,266,0.006370282224282013,0.5441133379936218,0.49658203125
mlp,382,0.00613138909333666,0.5454575419425964,0.47998046875
mlp,259,0.006036332177756748,0.481310099363327,0.48193359375
mlp,241,0.005802562248371083,0.5471180081367493,0.50439453125
mlp,388,0.005659254788715682,0.5137202143669128,0.4833984375
mlp,20,0.0055171359790133255,0.5229691863059998,0.47900390625
mlp,478,0.004991177016607782,0.5583456754684448,0.49072265625
mlp,363,0.004965566121637645,0.5011565089225769,0.4794921875
mlp,414,0.004789717750483277,0.5526319146156311,0.48828125
mlp,50,0.004775132947541958,0.4633968472480774,0.453125
mlp,286,0.004490902106871551,0.4905293583869934,0.47802734375
mlp,91,0.004422992253862104,0.5342811346054077,0.49560546875
mlp,283,0.004191613781500398,0.5194579362869263,0.4814453125
mlp,57,0.003974937128215403,0.5234905481338501,0.48876953125
mlp,396,0.003914658616144979,0.4939418435096741,0.48193359375
mlp,52,0.0037906491018232296,0.4943698048591614,0.48388671875
mlp,444,0.003760739444705131,0.5265282392501831,0.49267578125
mlp,122,0.003501347591278811,0.5016608834266663,0.4716796875
mlp,395,0.003278704561726627,0.5105618238449097,0.4990234375
mlp,44,0.002806350769668196,0.5046327114105225,0.48291015625
mlp,183,0.002771808041177997,0.5443376302719116,0.50244140625
mlp,80,0.002697993100977978,0.4968326687812805,0.4931640625
mlp,0,0.0023956990695933717,0.4810743033885956,0.47998046875
mlp,492,0.002197440199420688,0.5278670787811279,0.51318359375
mlp,467,0.00208338864572655,0.53702712059021,0.486328125
mlp,278,0.0018795552179383982,0.5463007688522339,0.49072265625
mlp,121,0.0017247589724600908,0.4965665936470032,0.48046875
mlp,279,0.0015392557866501836,0.5193371176719666,0.4794921875
mlp,458,0.0015341396870342922,0.5083231925964355,0.49609375
mlp,35,0.0014435944135920255,0.5672410726547241,0.4853515625
mlp,244,0.0012649451589462801,0.5229843258857727,0.51416015625
mlp,38,0.00117479400218872,0.49473637342453003,0.47802734375
mlp,349,0.0011090534950516594,0.5194969773292542,0.47998046875
mlp,101,0.0010691461685430497,0.5388461351394653,0.50244140625
mlp,212,0.00077060799981132,0.4856107234954834,0.4833984375
mlp,118,0.0006405005813197829,0.5348315834999084,0.4970703125
mlp,263,0.0005415394529325147,0.5745270252227783,0.50537109375
mlp,235,0.0005269449665819534,0.5247018337249756,0.4755859375
mlp,103,0.00037054641141384117,0.5279363393783569,0.501953125
mlp,412,0.0003390690709869274,0.5318969488143921,0.482421875
mlp,243,0.00025215271722801256,0.5686771869659424,0.48681640625
mlp,225,0.00020907754365364484,0.5144065618515015,0.4765625
mlp,68,-0.00011126740318839348,0.47364121675491333,0.501953125
mlp,86,-0.0006275478413562049,0.5318539142608643,0.48828125
mlp,373,-0.0006352071844123918,0.5387394428253174,0.48583984375
mlp,474,-0.0011691805742708697,0.5102044343948364,0.49951171875
mlp,84,-0.001553330634480833,0.4893327057361603,0.4912109375
mlp,214,-0.0017029865736297102,0.5357818603515625,0.50537109375
mlp,461,-0.0017929068046096017,0.5431358218193054,0.49755859375
mlp,393,-0.0018580347262651489,0.525054931640625,0.494140625
mlp,381,-0.0019060002411148999,0.4670889377593994,0.4833984375
mlp,251,-0.0022223314194316926,0.5059527158737183,0.486328125
mlp,375,-0.0024152847638091923,0.5177408456802368,0.505859375
mlp,318,-0.0026631190184068488,0.5460155606269836,0.4873046875
mlp,213,-0.0031543685433159836,0.5535551905632019,0.49365234375
mlp,129,-0.0031648593767238924,0.47554823756217957,0.4814453125
mlp,228,-0.0038372725028140648,0.5626967549324036,0.501953125
mlp,59,-0.0038652391730959333,0.5240387916564941,0.49951171875
mlp,288,-0.004089228855952522,0.5068830251693726,0.484375
mlp,193,-0.004098839700273715,0.4835180342197418,0.47021484375
mlp,437,-0.004193049415068853,0.5185422897338867,0.47998046875
mlp,248,-0.004566850955033542,0.4973640441894531,0.50048828125
mlp,370,-0.004605896307245585,0.5288971662521362,0.48388671875
mlp,236,-0.004657413178033596,0.48985782265663147,0.486328125
mlp,265,-0.004899116821795822,0.4766624867916107,0.47900390625
mlp,232,-0.005122944274145077,0.4949381649494171,0.4755859375
mlp,158,-0.0053189798898652715,0.5485979318618774,0.4775390625
mlp,61,-0.005569549223982784,0.5168910026550293,0.49755859375
mlp,308,-0.005721839199264503,0.5264358520507812,0.4765625
mlp,100,-0.005957557454839707,0.5807370543479919,0.498046875
